page_id,line_id,reason,bbox,text
dudhadasa1900__01,r7l55,ctc_infeasible,"(1010, 2590, 1336, 2637)",कापीराइट महफूज़ है बहक़ इस छापेखाने के ॥
dudhadasa1900__07,r1l6,ctc_infeasible,"(1463, 342, 1549, 411)",नहिं बनै बरणत धाम शोभा चहूं दिशि सुबरण मई ।
dudhadasa1900__07,r1l32,ctc_infeasible,"(935, 1460, 1683, 1540)",भोर होतप्रिय करहु पयाना । जायहु विपिनवचनपरमाना ॥
dudhadasa1900__13,r1l19,ctc_infeasible,"(945, 692, 1580, 751)",भयो देश पुर शोक निवासू । कहैं दीन प्रभुसिय बनबासु ॥
giridharadasa1902__04,r2l43,ctc_infeasible,"(1900, 3266, 2786, 3367)",यहैअनन्वैसोइ ३४ ॥ उदाहरण ॥ तुवकीरतिसीस्वच्छ
giridharadasa1902__04,r2l50,ctc_infeasible,"(2156, 3628, 2404, 3703)",भरीमुदाम ३५ ॥ उपमेयोपमालक्षण ॥ हैह्वैहीजहँपरसप
giridharadasa1902__04,r2l54,ctc_infeasible,"(2250, 3794, 2784, 3849)",र उपमेयरुउपमान ॥ सोहैउपमेयोपमा तीजेसोसमता
giridharadasa1902__04,r2l65,ctc_infeasible,"(1242, 4414, 2004, 4521)",ताकोपांचप्रतीपमैं प्रथमजानियेखास ३८ ॥ उदाहरण ॥
giridharadasa1902__05,r2l38,ctc_infeasible,"(2240, 3608, 2756, 3703)",रण ॥ धनगजचढ़िआकाशमगचलेइन्द्रअरिजोइ ॥ सुधा
giridharadasa1902__08,r1l15,ctc_infeasible,"(1980, 1108, 2620, 1201)",विधिकहहिंप्रवीन ॥ वस्तुहेतुफलरूपकरि जिनकीमति
giridharadasa1902__09,r1l43,ctc_infeasible,"(1824, 4275, 2538, 4366)",केनामहिसुने कारजआशुहिहोइ ॥ चपलाअतिशयउ
giridharadasa1902__10,r1l42,ctc_infeasible,"(2043, 4134, 2541, 4215)",तासुकहिदेहु १११ ॥ उदाहरण ॥ सोहतभूपतिदानसों
hajarilala1919__02,r2l14,ctc_infeasible,"(1175, 1011, 1519, 1051)","अरधंगिनि जो, कटिशार्दुलचर्म कसे अहि-"
hajarilala1919__02,r2l21,ctc_infeasible,"(208, 1306, 543, 1361)",धरे बसहा असवारा । सो शिव मोपर होहु
hajarilala1919__02,r2l60,ctc_infeasible,"(182, 2332, 430, 2382)",शशि गङ्गा सोहत सुँदरहीं । कांधे उपबीत
hajarilala1919__03,r1l34,ctc_infeasible,"(92, 2014, 560, 2075)",छीन कोउ हीन कानते ।। काहू कर पद नाहीं
hajarilala1919__06,r2l14,ctc_infeasible,"(1590, 1763, 1808, 1845)","भूत प्रेतगण कहुँ बाघ ब्याल कहुँ, निशि-"
hajarilala1919__12,r1l18,ctc_infeasible,"(192, 1272, 496, 1371)","अस पाई ।। तहँऊँ सतिब्याह भयो हर से,"
hajarilala1919__12,r1l24,ctc_infeasible,"(1262, 1887, 1780, 1974)","वति जो रहि, शङ्कर सङ्ग सती मगुमाहीं ।"
hajarilala1919__14,r1l47,ctc_infeasible,"(955, 1903, 1305, 1973)","अनुसार, जस कु ब्यवहार है जो जेवँ-"
hajarilala1919__15,r1l9,ctc_infeasible,"(85, 895, 585, 965)",बैन मुदकारी बहुत सुनावहीं ।। सुनि
hajarilala1919__16,r2l22,ctc_infeasible,"(208, 1909, 569, 2000)","बर शोभा रङ्ग मनोहर, रतनन द्युति तर"
jacobi1897__02,r2l19,ctc_infeasible,"(158, 2015, 517, 2073)",ते उसकी पूरी बुराई लिखते क्योंकि सूत्र साफ़ कहते
jacobi1897__04,r2l17,ctc_infeasible,"(713, 686, 1101, 724)",क्यसिंह और वर्द्धमान के लकब और नाम वही बुद्ध
jacobi1897__05,r2l65,ctc_infeasible,"(987, 1751, 1197, 1792)",लिखा है बराहमिहिर और हेमचंद्र उनको निग्रंथ
jacobi1897__05,r2l105,ctc_infeasible,"(882, 2407, 1386, 2446)",ता है बौद्धों के पीटकों में अक्सर निगंठों को बुद्ध
jacobi1897__06,r1l18,ctc_infeasible,"(1461, 1672, 1689, 1741)",काटने को चला उसके बाप श्रेणिक अर्थात् बिम्बि-
jacobi1897__08,r1l16,ctc_infeasible,"(715, 581, 963, 614)",आत्मावतार और वैश्यन्तर इत्यादि बौद्ध पुस्तकों
jacobi1897__09,r1l63,ctc_infeasible,"(1318, 2661, 1686, 2705)",ठहरता है और यूनानियों के संवत् से इस संवत् के
jagannatha1955__004,r2l14,ctc_infeasible,"(162, 1678, 1815, 1801)",अल --- इसमें ब्रह्माक्षर ॐ से शॉर्टहैंड का सम्बन्ध बड़े मनोरंजक
jagannatha1955__004,r2l19,ctc_infeasible,"(354, 2283, 1830, 2412)",४ --- कुंजी श्रीब्रह्माक्षरप्रकाश --- इसकी सहायता से
jagannatha1955__004,r2l20,ctc_infeasible,"(170, 2401, 1812, 2534)",विद्यार्थी बिना अध्यापक के भी हिन्दी शॅार्टहैंड सीख लेता
jagannatha1955__004,r2l21,ctc_infeasible,"(188, 2525, 570, 2632)",है । मूल्य १ ॥)
jayadeva1926__004,r3l25,ctc_infeasible,"(262, 2271, 547, 2342)",श्रीवासुदेवरतिकेलिकथासमेत-
jayadeva1926__005,r1l18,ctc_infeasible,"(63, 2107, 703, 2221)",शृङ्गारोत्तरसत्प्रमेयरचनैराचार्यगोवर्द्धनः
jayadeva1926__006,r2l1,ctc_infeasible,"(684, 204, 1112, 306)",गीतगोविन्दादर्श ।
jayadeva1926__007,r1l22,ctc_infeasible,"(647, 2610, 1148, 2705)",शृणु सुखदं शुभदं भवसारम् ।।
jayadeva1926__009,r1l36,ctc_infeasible,"(76, 2317, 327, 2362)",दैत्यं दारयते बलिं छलयते क्षत्रक्षयं कुर्वते ।
